 Simulation_Period = 20090901 -- 20170831
   ID  VAR           Date             OBS_avg             SIM_avg              SIM_sd
  117    5         201210     273280.00000000          0.00002195          0.00000020
  118    5         201211     145550.00000000          0.00001972          0.00000120
  119    5         201212     212280.00000000          0.00001752          0.00000023
  120    5         201310     181040.00000000          0.00002689          0.00000291
  121    5         201410     176390.00000000          0.00002445          0.00000010
  122    5         201510     208440.00000000          0.00003234          0.00000104
  123    5         201601     132510.00000000          0.00002466          0.00000053
  124    5         201602     153070.00000000          0.00002285          0.00000051
  125    5         201603     232540.00000000          0.00002070          0.00000067
  126    5         201604     244750.00000000          0.00002004          0.00000025
  127    5         201605     224830.00000000          0.00002293          0.00000122
  128    5         201606     389990.00000000          0.00002538          0.00000038
  129    5         201607     348450.00000000          0.00002701          0.00000043
  130    5         201608     336250.00000000          0.00002798          0.00000011
  131    5         201609     238160.00000000          0.00002836          0.00000031
  132    5         201610     190420.00000000          0.00002821          0.00000033
  133    5         201611     307160.00000000          0.00002638          0.00000042
  134    5         201612     238760.00000000          0.00002473          0.00000062

OBJ-FUNCTIONS & PARAMETERS:
    fOBJ (best=0) =     0.3194
          fOBJ[i] =     0.4002    0.0000    0.0000    0.3997    0.4736
   fOBJ_weight[i] =     0.5556    0.1111    0.1111    0.1111    0.1111

             LF0              r0            fINP              VP            PAR1             KP1             fKM            PAR3            Qmax             Kba            Kdes              rE             pEP            fpEM              fD              gD              Vg           alpha              KD              Yg            Ygsl             Q10           gamma            beta           WPA2D             tau           wdorm         VNup_MB        KsNH4_MB        KsNO3_MB            Vnit          Vdenit            PAR4
     0.90000000,     0.20000000,     0.40000000,    75.00000000,     2.00000000,   100.00000000,     6.00000000,   492.00000000,     2.50000000,     6.00000000,     0.00600000,     0.00350805,     0.03227967,     0.84783285,     0.89996236,     0.89283454,     0.04971477,     0.04000070,     0.00079173,     0.21377074,     0.00124117,     1.28369896,     0.01054752,     0.00050106,     0.04804647,     0.25000000,     4.00000000,     0.04999182,     0.00010000,     0.00010000,     0.02651949,     0.02614681,     1.00000000,
